Variável,Valor
"Gw[5,6]",0.0
"Gw[5,7]",0.0
"Gw[5,8]",0.0
"Gw[5,9]",0.0
"Gw[6,0]",0.0
"Gw[6,1]",0.0
"Gw[6,2]",0.0
"Gw[6,3]",0.0
"Gw[6,4]",0.0
"Gw[6,5]",0.0
"Gw[6,6]",0.0
"Gw[6,7]",2235.478452495731
"Gw[6,8]",0.0
"Gw[6,9]",0.0
"Gw[7,0]",0.0
"Gw[7,1]",0.0
"Gw[7,2]",0.0
"Gw[7,3]",0.0
"Gw[7,4]",0.0
"Gw[7,5]",0.0
"Gw[7,6]",0.0
"Gw[7,7]",18618.187120766946
"Gw[7,8]",0.0
"Gw[7,9]",0.0
"Gw[8,0]",0.0
"Gw[8,1]",0.0
"Gw[8,2]",0.0
"Gw[8,3]",0.0
"Gw[8,4]",0.0
"Gw[8,5]",0.0
"Gw[8,6]",0.0
"Gw[8,7]",0.0
"Gw[8,8]",0.0
"Gw[8,9]",0.0
"Gw[9,0]",0.0
"Gw[9,1]",0.0
"Gw[9,2]",0.0
"Gw[9,3]",0.0
"Gw[9,4]",0.0
"Gw[9,5]",0.0
"Gw[9,6]",0.0
"Gw[9,7]",0.0
"Gw[9,8]",0.0
"Gw[9,9]",0.0
"O[0,0]",0.0
"O[0,1]",0.0
"O[0,2]",0.0
"O[0,3]",0.0
"O[0,4]",0.0
"O[0,5]",0.0
"O[0,6]",0.0
"O[0,7]",0.0
"O[0,8]",0.0
"O[0,9]",0.0
"O[1,0]",0.0
"O[1,1]",0.0
"O[1,2]",0.0
"O[1,3]",0.0
"O[1,4]",0.0
"O[1,5]",0.0
"O[1,6]",0.0
"O[1,7]",0.0
"O[1,8]",0.0
"O[1,9]",0.0
"O[2,0]",0.0
"O[2,1]",0.0
"O[2,2]",0.0
"O[2,3]",0.0
"O[2,4]",0.0
"O[2,5]",0.0
"O[2,6]",0.0
"O[2,7]",0.0
"O[2,8]",0.0
"O[2,9]",0.0
"O[3,0]",0.0
"O[3,1]",0.0
"O[3,2]",0.0
"O[3,3]",0.0
"O[3,4]",0.0
"O[3,5]",0.0
"O[3,6]",0.0
"O[3,7]",0.0
"O[3,8]",0.0
"O[3,9]",0.0
"O[4,0]",0.0
"O[4,1]",0.0
"O[4,2]",0.0
"O[4,3]",0.0
"O[4,4]",0.0
"O[4,5]",0.0
"O[4,6]",0.0
"O[4,7]",112.52846853695286
"O[4,8]",75.25172147268852
"O[4,9]",0.0
"O[5,0]",0.0
"O[5,1]",0.0
"O[5,2]",0.0
"O[5,3]",0.0
"O[5,4]",0.0
"O[5,5]",0.0
"O[5,6]",0.0
"O[5,7]",0.0
"O[5,8]",0.0
"O[5,9]",0.0
"O[6,0]",0.0
"O[6,1]",0.0
"O[6,2]",0.0
"O[6,3]",0.0
"O[6,4]",0.0
"O[6,5]",0.0
"O[6,6]",0.0
"O[6,7]",0.0
"O[6,8]",0.0
"O[6,9]",0.0
"O[7,0]",0.0
